price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,street,city,statezip,x,y,z,has_basement,was_renovated,age
5.6404770238206465,3.0,2.0,1340,1384,3.0,0,0,3,1340,3913,34,47,-0.3601436027054247,-0.568589990272789,0.7395958412484125,0,0,6
5.424900238995654,4.0,3.25,3540,159430,2.0,0,0,3,3540,2458,7,10,-0.35611461195535127,-0.5721483537892803,0.738802168654171,0,0,7
5.7332201885627665,5.0,6.5,7270,130017,2.0,0,0,3,6420,3465,15,17,-0.35755546952216083,-0.57263361805451,0.7377295071288585,1,0,4
5.785821031135321,3.0,2.25,998,904,2.0,0,0,3,798,3715,34,56,-0.3602988147214317,-0.5684775585184002,0.739606672205768,1,0,7
5.196870750211347,5.0,2.75,3060,7015,1.0,0,0,5,1600,174,34,65,-0.36168529957837575,-0.5705379287858132,0.7373399595069392,1,0,35
5.01883321105545,3.0,2.5,2130,6969,2.0,0,0,3,2130,4017,20,23,-0.3592062179949206,-0.5741854674755615,0.7357185423563899,0,0,11
5.852840845579747,4.0,2.0,2520,6000,1.0,0,0,3,1400,3370,34,47,-0.360286433084415,-0.5688162547305259,0.7393522533201929,1,1,93
4.924335940970769,4.0,1.0,1940,9533,1.0,0,0,3,1080,4008,17,19,-0.3606808114710347,-0.5725656331519209,0.7362594298003495,1,1,52
5.6820669077460515,3.0,2.5,1350,1250,3.0,0,0,3,1270,3251,34,63,-0.3615285607557764,-0.56996299906014,0.7378612874112774,1,0,8
5.968825957825928,4.0,2.5,2160,5298,2.5,0,0,4,2160,3872,34,59,-0.36034350754211686,-0.5697847175289991,0.7385783182863164,0,0,112
5.596988111849693,3.0,2.5,1370,1350,2.0,0,0,3,1010,3161,34,63,-0.36145295459527044,-0.5699608271214022,0.7379000048525793,1,0,7
5.425015038044179,4.0,4.5,5420,101930,1.0,0,0,3,3890,1932,30,32,-0.35699794123143497,-0.5711863862834153,0.739120140492065,1,0,13
5.748503571568331,4.0,2.5,2830,5000,2.0,0,0,3,2830,2548,34,48,-0.3598042988202248,-0.5693726159960175,0.7391587723245514,0,0,19
5.422725176021547,3.0,2.5,2010,2287,2.0,0,0,3,1390,1929,15,17,-0.35798032002244856,-0.57234941605725,0.7377436991393006,1,0,0
5.6415846463020785,4.0,2.75,3300,12090,2.0,0,0,3,3300,3886,8,3,-0.35929925774704524,-0.5701515778249113,0.7388039128795857,0,0,61
5.989898280502176,2.0,2.5,1230,1391,2.0,0,0,3,870,130,34,53,-0.36019377559221927,-0.569746134182005,0.7386811129366195,1,1,10
