price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_above,sqft_basement,city,x,y,z,zipcode,log_sqft_lot,was_renovated,age
376000.0,3.0,2.0,1340,3.0,0,0,3,1340,0,34,-0.36014360270542456,-0.568589990272789,0.7395958412484126,47,7.233455418621439,0,6
800000.0,4.0,3.25,3540,2.0,0,0,3,3540,0,7,-0.3561146119553512,-0.5721483537892803,0.7388021686541711,10,11.97936650572697,0,7
324000.0,3.0,2.25,998,2.0,0,0,3,798,200,34,-0.3602988147214316,-0.5684775585184002,0.739606672205768,56,6.807934943699926,0,7
549900.0,5.0,2.75,3060,1.0,0,0,5,1600,1460,34,-0.36168529957837575,-0.5705379287858134,0.7373399595069393,65,8.855948534052018,0,35
320000.0,3.0,2.5,2130,2.0,0,0,3,2130,0,20,-0.3592056615122249,-0.5741833675859783,0.7357204520530288,23,8.84937050375457,0,11
875000.0,4.0,2.0,2520,1.0,0,0,3,1400,1120,34,-0.360286433084415,-0.568816254730526,0.739352253320193,47,8.699681400989512,1,93
265000.0,4.0,1.0,1940,1.0,0,0,3,1080,860,17,-0.36068081147103465,-0.5725656331519209,0.7362594298003496,19,9.16261963576477,1,52
394950.0,3.0,2.5,1350,3.0,0,0,3,1270,80,34,-0.3615285607557764,-0.5699629990601401,0.7378612874112775,63,7.131698510466911,0,8
842500.0,4.0,2.5,2160,2.5,0,0,4,2160,0,34,-0.3603435075421168,-0.5697847175289991,0.7385783182863165,59,8.575273402492762,0,112
368000.0,3.0,2.5,1370,2.0,0,0,3,1010,360,34,-0.3614529545952704,-0.5699608271214022,0.7379000048525793,63,7.208600337960199,0,7
1225000.0,4.0,4.5,5420,1.0,0,0,3,3890,1530,30,-0.35699794123143486,-0.5711863862834154,0.7391201404920651,32,11.532051392768704,0,13
885000.0,4.0,2.5,2830,2.0,0,0,3,2830,0,34,-0.3598042988202247,-0.5693726159960175,0.7391587723245515,48,8.517393171418904,0,19
453246.0,3.0,2.5,2010,2.0,0,0,3,1390,620,15,-0.3579834263174514,-0.5723517808180447,0.7377403565177545,17,7.7354333524996886,0,0
927000.0,4.0,2.75,3300,2.0,0,0,3,3300,0,8,-0.35929925774704513,-0.5701515778249113,0.7388039128795858,3,9.400216653174246,0,61
490000.0,2.0,2.5,1230,2.0,0,0,3,870,360,34,-0.36019377559221916,-0.569746134182005,0.7386811129366196,53,7.238496840894364,1,10
341000.0,3.0,1.5,1720,1.5,0,0,4,1720,0,35,-0.3593994791291746,-0.5682068345279971,0.7402519892559232,67,8.87066300440602,0,62
235000.0,1.0,1.0,810,1.0,0,0,5,810,0,34,-0.36162420471277223,-0.570366417431762,0.737502599610274,61,7.8046592970561015,0,73
1200000.0,3.0,1.75,1560,1.5,1,4,4,1560,0,22,-0.35992345343804594,-0.5705513666851771,0.7381911985650517,25,8.997023381479709,0,86
560000.0,3.0,2.0,2560,1.0,0,0,3,2560,0,1,-0.3602649854497847,-0.5746189511551373,0.7348620287048696,45,12.286629067383828,0,28
900000.0,4.0,3.25,4700,2.0,0,0,3,3420,1280,3,-0.3586744903829323,-0.5703166246420945,0.7389800793021367,4,10.556151222950184,0,36
255000.0,2.0,1.0,1220,1.0,0,0,3,770,450,34,-0.3612140780278556,-0.5698077271671677,0.738135179960333,61,7.824445930877618,1,104
1575000.0,5.0,2.75,3650,1.0,0,0,4,2360,1290,3,-0.3594189840223183,-0.5702047757486646,0.7387046146043625,3,9.911009193934975,0,39
876650.0,3.0,3.25,2170,1.5,0,0,5,1650,520,22,-0.35983690494363596,-0.5707726339886282,0.7380623294344918,25,9.43420366421474,1,86
540000.0,4.0,2.25,2540,1.0,0,0,3,1450,1090,11,-0.35564285686551267,-0.5710518863280961,0.7398769502300094,11,12.338218704022324,1,24
350000.0,2.0,1.0,910,1.5,0,0,4,910,0,34,-0.36045652633212416,-0.5704256216339738,0.7380282533941864,57,8.412054873292933,1,108
750000.0,4.0,2.5,2980,2.0,0,0,3,2890,90,3,-0.3589039742405881,-0.5716988235829819,0.7377996966576674,5,8.503297086224126,0,14
582000.0,4.0,1.75,2120,1.0,0,1,3,1190,930,34,-0.3606417099940214,-0.5682881612757175,0.7395851017742667,56,8.444837529224097,1,63
1315000.0,4.0,3.5,3460,2.0,0,0,3,2560,900,34,-0.36011588226025093,-0.5689949772984408,0.7392978203356669,47,8.293549515060345,1,10
372500.0,5.0,3.0,2480,1.0,0,0,3,1300,1180,34,-0.3606548604615277,-0.5713248079634902,0.737235400283354,71,9.219399216464529,1,10
410000.0,3.0,2.25,2200,2.0,0,0,3,2200,0,20,-0.3593643287881267,-0.5740131006125919,0.7357759438305779,23,9.736369829484445,1,27
360000.0,4.0,2.0,1730,1.0,0,0,5,1010,720,34,-0.36131530214934915,-0.5703785563753196,0.7376445992887978,49,8.612685172875457,0,71
1015000.0,3.0,2.5,2920,1.0,0,4,4,1800,1120,34,-0.3614406492584544,-0.5695563589046257,0.7382182679227954,55,10.449525868057862,1,60
225000.0,3.0,1.0,990,1.0,0,0,4,990,0,31,-0.3601157107613702,-0.5722851730261338,0.7367539315112485,36,8.98882050177807,0,48
647000.0,4.0,2.5,3040,2.0,0,0,3,3040,0,32,-0.3574292691961995,-0.5716699181543299,0.7385376240918893,42,8.837536046107566,0,15
950000.0,5.0,3.0,4530,1.5,0,0,4,3200,1330,41,-0.3568219282991011,-0.5695519373570552,0.7404651930629397,44,12.463606029291604,0,11
185000.0,3.0,1.5,1370,1.0,0,0,4,1370,0,1,-0.36138764635235815,-0.5740365813209359,0.7347659303269821,45,9.044403844431551,1,53
335000.0,3.0,2.5,1940,2.0,0,0,3,1940,0,31,-0.3595597273655377,-0.5727477510940767,0.7366660139259161,36,8.502688505213355,1,10
210000.0,3.0,2.5,1040,2.0,0,0,3,720,320,34,-0.36057524594260615,-0.5710655163814599,0.737475198236121,57,7.880048200971577,1,10
522000.0,4.0,2.25,1800,1.0,0,0,4,1360,440,18,-0.3585293051649443,-0.5696828205246375,0.739539195267591,21,9.062304293148777,0,34
770000.0,3.0,1.75,1720,1.0,0,0,3,1720,0,34,-0.36011135315292664,-0.5698555497582297,0.7386368970882203,59,8.517393171418904,1,60
499950.0,3.0,1.0,980,1.0,0,0,3,760,220,34,-0.35977145838473473,-0.5689006938214586,0.7395380303278419,54,8.761080103868347,1,73
751000.0,4.0,2.5,3110,2.0,0,0,3,3110,0,30,-0.35772590025836365,-0.5700192119230769,0.7396690329619984,31,8.723068501163928,1,10
330000.0,5.0,3.0,2100,1.0,0,0,3,1250,850,6,-0.36128796689263454,-0.5710729839837877,0.7371205138526802,69,8.951051374025619,1,1
465000.0,3.0,1.5,2020,1.0,0,0,4,1190,830,18,-0.35873438883127534,-0.5699826237714983,0.7392086626037401,21,9.33776566023142,0,58
850000.0,4.0,1.75,2350,1.0,0,0,4,2350,0,22,-0.3600278949160846,-0.5710701651966403,0.7377389655593467,25,9.385553389532841,1,53
